iter	Passed	Remaining
704	1258	526
705	1259	524
706	1261	522
707	1264	521
708	1265	519
709	1266	517
710	1267	515
711	1272	514
712	1274	512
713	1275	510
714	1276	508
715	1277	506
716	1278	504
717	1279	502
718	1280	500
719	1281	498
720	1282	496
721	1283	494
722	1285	492
723	1286	490
724	1287	488
725	1288	486
726	1289	484
727	1290	482
728	1291	479
729	1291	477
730	1292	475
731	1293	473
732	1294	471
733	1294	469
734	1295	467
735	1296	465
736	1297	463
737	1298	461
738	1299	459
739	1300	456
740	1301	454
741	1302	452
742	1303	450
743	1304	448
744	1304	446
745	1305	444
746	1306	442
747	1310	441
748	1311	439
749	1313	437
750	1313	435
751	1314	433
752	1315	431
753	1316	429
754	1317	427
755	1317	425
756	1318	423
757	1319	421
758	1320	419
759	1321	417
760	1322	415
761	1326	414
762	1327	412
763	1328	410
764	1329	408
765	1330	406
766	1331	404
767	1331	402
768	1332	400
769	1333	398
770	1334	396
771	1335	394
772	1335	392
773	1336	390
774	1337	388
775	1341	387
776	1342	385
777	1343	383
778	1344	381
779	1345	379
780	1346	377
781	1346	375
782	1347	373
783	1348	371
784	1349	369
785	1350	367
786	1351	365
787	1352	363
788	1357	362
789	1358	361
790	1359	359
791	1360	357
792	1360	355
793	1361	353
794	1362	351
795	1363	349
796	1364	347
797	1365	345
798	1366	343
799	1367	341
800	1371	340
801	1372	338
802	1373	336
803	1374	335
804	1376	333
805	1377	331
806	1378	329
807	1379	327
808	1380	325
809	1381	323
810	1381	322
811	1382	320
812	1387	319
813	1388	317
814	1389	315
815	1390	313
816	1390	311
817	1391	309
818	1392	307
819	1393	305
820	1394	304
821	1395	302
822	1396	300
823	1396	298
824	1397	296
825	1401	295
826	1403	293
827	1404	291
828	1405	289
829	1406	288
830	1407	286
831	1408	284
832	1409	282
833	1410	280
834	1410	278
835	1411	276
836	1413	275
837	1414	273
838	1415	271
839	1416	269
840	1418	268
841	1420	266
842	1421	264
843	1421	262
844	1422	260
845	1423	259
846	1425	257
847	1427	255
848	1428	254
849	1429	252
850	1430	250
851	1431	248
852	1432	246
853	1433	245
854	1434	243
855	1442	242
856	1443	240
857	1444	239
858	1445	237
859	1446	235
860	1447	233
861	1448	231
862	1449	230
863	1450	228
864	1451	226
865	1456	225
866	1457	223
867	1458	221
868	1460	220
869	1461	218
870	1462	216
871	1463	214
872	1464	213
873	1465	211
874	1466	209
875	1472	208
876	1473	206
877	1474	204
878	1475	203
879	1475	201
880	1476	199
881	1477	197
882	1478	195
883	1479	194
884	1480	192
885	1481	190
886	1485	189
887	1488	187
888	1489	185
889	1491	184
890	1492	182
891	1493	180
892	1494	179
893	1495	177
894	1503	176
895	1504	174
896	1505	172
897	1506	171
898	1507	169
899	1508	167
900	1509	165
901	1510	164
902	1511	162
903	1511	160
904	1512	158
905	1517	157
906	1518	155
907	1519	153
908	1520	152
909	1521	150
910	1522	148
911	1522	146
912	1523	145
913	1524	143
914	1525	141
915	1526	139
916	1527	138
917	1528	136
918	1529	134
919	1530	133
920	1531	131
921	1531	129
922	1532	127
923	1533	126
924	1534	124
925	1534	122
926	1535	120
927	1536	119
928	1537	117
929	1538	115
930	1543	114
931	1544	112
932	1545	110
933	1546	109
934	1547	107
935	1548	105
936	1549	104
937	1550	102
938	1551	100
939	1552	99
940	1553	97
941	1558	95
942	1559	94
943	1559	92
944	1560	90
945	1561	89
946	1562	87
947	1563	85
948	1564	84
949	1565	82
950	1566	80
951	1566	79
952	1567	77
953	1568	75
954	1571	74
955	1572	72
956	1573	70
957	1574	69
958	1575	67
959	1575	65
960	1576	63
961	1577	62
962	1578	60
963	1579	58
964	1579	57
965	1580	55
966	1581	53
967	1582	52
968	1583	50
969	1586	49
970	1587	47
971	1588	45
972	1589	44
973	1590	42
974	1590	40
975	1592	39
976	1592	37
977	1593	35
978	1594	34
979	1595	32
980	1596	30
981	1596	29
982	1598	27
983	1598	25
984	1603	24
985	1603	22
986	1605	21
987	1605	19
988	1606	17
989	1607	16
990	1608	14
991	1609	12
992	1610	11
993	1611	9
994	1612	8
995	1613	6
996	1614	4
997	1617	3
998	1617	1
999	1619	0
